algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1100;0.001707;0.0017092998858230218;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1150;0.00187842;0.0018682223958685505;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1200;0.0020394799999999998;0.0020342081285827695;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1250;0.0021983000000000003;0.002207257083965679;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1300;0.00237346;0.0023873692620172784;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1350;0.0025730399999999995;0.0025745446627375677;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1400;0.0027655;0.0027687832861265477;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1450;0.0029627599999999996;0.0029700851321842175;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1500;0.00317215;0.0031784502009105774;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1550;0.00342014;0.003393878492305628;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1600;0.003598075;0.0036163700063693684;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1650;0.0038432;0.003845924743101799;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1700;0.00407055;0.004082542702502919;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1750;0.004340899999999999;0.004326223884572731;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1800;0.00457118;0.004576968289311232;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1850;0.004890333333333333;0.004834775916718423;0
